Estación,Longitud,Latitud,Tmax,Pmax,Date
ENP1,-99.122000,19.271300,24.8,0.0,2022-01
ENP2,-99.099900,19.384000,25.5,5.1,2022-01
ENP3,-99.094800,19.481800,26.4,1.8,2022-01
ENP4,-99.194900,19.403700,0.0,0.0,2022-01
ENP5,-99.080500,19.162400,25.1,0.2,2022-01
ENP6,-99.092400,19.210700,25.4,3.0,2022-01
ENP7,-99.126900,19.419700,23.7,1.0,2022-01
ENP8,-99.194500,19.367400,0.0,0.0,2022-01
ENP9,-99.128100,19.483300,25.3,9.8,2022-01
ENP1,-99.122000,19.271300,28.3,0.8,2022-02
ENP2,-99.099900,19.384000,28.1,0.5,2022-02
ENP3,-99.094800,19.481800,30.0,0.2,2022-02
ENP4,-99.194900,19.403700,27.4,1.6,2022-02
ENP5,-99.080500,19.162400,28.7,0.2,2022-02
ENP6,-99.092400,19.210700,28.6,1.0,2022-02
ENP7,-99.126900,19.419700,29.2,1.3,2022-02
ENP8,-99.194500,19.367400,26.8,0.4,2022-02
ENP9,-99.128100,19.483300,28.7,0.6,2022-02
ENP1,-99.122000,19.271300,29.8,6.6,2022-03
ENP2,-99.099900,19.384000,0.0,0.2,2022-03
ENP3,-99.094800,19.481800,31.1,2.8,2022-03
ENP4,-99.194900,19.403700,27.8,3.6,2022-03
ENP5,-99.080500,19.162400,32.1,1.8,2022-03
ENP6,-99.092400,19.210700,30.5,3.2,2022-03
ENP7,-99.126900,19.419700,31.6,6.3,2022-03
ENP8,-99.194500,19.367400,29.4,2.2,2022-03
ENP9,-99.128100,19.483300,30.8,0.8,2022-03
ENP1,-99.122000,19.271300,32.3,7.6,2022-04
ENP2,-99.099900,19.384000,0.0,0.4,2022-04
ENP3,-99.094800,19.481800,32.2,26.6,2022-04
ENP4,-99.194900,19.403700,31.0,8.6,2022-04
ENP5,-99.080500,19.162400,32.2,8.0,2022-04
ENP6,-99.092400,19.210700,31.1,1.6,2022-04
ENP7,-99.126900,19.419700,32.2,9.4,2022-04
ENP8,-99.194500,19.367400,29.3,6.6,2022-04
ENP9,-99.128100,19.483300,31.1,28.8,2022-04
ENP1,-99.122000,19.271300,32.1,3.2,2022-05
ENP2,-99.099900,19.384000,0.0,0.1,2022-05
ENP3,-99.094800,19.481800,32.0,1.8,2022-05
ENP4,-99.194900,19.403700,31.0,3.6,2022-05
ENP5,-99.080500,19.162400,32.4,5.4,2022-05
ENP7,-99.126900,19.419700,31.9,6.1,2022-05
ENP8,-99.194500,19.367400,29.9,5.8,2022-05
ENP9,-99.128100,19.483300,31.7,4.0,2022-05
ENP1,-99.122000,19.271300,30.8,7.0,2022-06
ENP2,-99.099900,19.384000,0.0,0.0,2022-06
ENP3,-99.094800,19.481800,29.1,0.0,2022-06
ENP4,-99.194900,19.403700,27.6,21.0,2022-06
ENP5,-99.080500,19.162400,30.4,14.0,2022-06
ENP7,-99.126900,19.419700,30.3,12.4,2022-06
ENP8,-99.194500,19.367400,25.8,11.2,2022-06
ENP9,-99.128100,19.483300,0.0,0.0,2022-06
ENP1,-99.122000,19.271300,30.3,0.2,2022-07
ENP2,-99.099900,19.384000,0.0,0.0,2022-07
ENP3,-99.094800,19.481800,30.1,19.3,2022-07
ENP4,-99.194900,19.403700,29.1,29.0,2022-07
ENP5,-99.080500,19.162400,30.2,5.2,2022-07
ENP7,-99.126900,19.419700,30.2,16.5,2022-07
ENP8,-99.194500,19.367400,27.6,45.8,2022-07
ENP9,-99.128100,19.483300,29.4,13.4,2022-07
ENP1,-99.122000,19.271300,27.3,24.8,2022-08
ENP2,-99.099900,19.384000,0.0,0.0,2022-08
ENP3,-99.094800,19.481800,28.2,7.6,2022-08
ENP4,-99.194900,19.403700,26.8,16.0,2022-08
ENP5,-99.080500,19.162400,28.1,2.2,2022-08
ENP7,-99.126900,19.419700,27.2,12.7,2022-08
ENP8,-99.194500,19.367400,25.8,12.0,2022-08
ENP9,-99.128100,19.483300,26.9,19.0,2022-08
ENP1,-99.122000,19.271300,27.3,15.8,2022-09
ENP2,-99.099900,19.384000,0.0,0.2,2022-09
ENP3,-99.094800,19.481800,27.3,15.0,2022-09
ENP5,-99.080500,19.162400,26.0,4.6,2022-09
ENP8,-99.194500,19.367400,24.6,8.0,2022-09
ENP9,-99.128100,19.483300,26.3,5.6,2022-09
ENP1,-99.122000,19.271300,28.0,34.8,2022-10
ENP2,-99.099900,19.384000,0.0,0.3,2022-10
ENP3,-99.094800,19.481800,29.0,11.8,2022-10
ENP5,-99.080500,19.162400,28.6,4.0,2022-10
ENP8,-99.194500,19.367400,26.1,7.8,2022-10
ENP1,-99.122000,19.271300,27.0,3.6,2022-11
ENP2,-99.099900,19.384000,0.0,0.4,2022-11
ENP3,-99.094800,19.481800,26.9,2.0,2022-11
ENP5,-99.080500,19.162400,26.8,3.0,2022-11
ENP8,-99.194500,19.367400,24.3,0.2,2022-11
ENP1,-99.122000,19.271300,26.8,3.6,2022-12
ENP2,-99.099900,19.384000,0.0,0.1,2022-12
ENP5,-99.080500,19.162400,25.8,8.6,2022-12
